Timestamp,AccelX,AccelY,AccelZ
0.000000,0.018112,-0.978058,-0.108673
0.020127,-0.018112,-0.959946,-0.090561
0.057404,-0.018112,-0.923721,-0.018112
0.078214,0.000000,-0.941833,-0.054337
0.098342,-0.018112,-0.978058,-0.054337
0.119420,-0.036224,-0.996170,-0.090561
0.140427,-0.036224,-0.996170,-0.054337
0.161525,-0.018112,-0.996170,-0.036224
0.182396,-0.018112,-0.996170,0.000000
0.202719,-0.018112,-0.996170,0.018112
0.223744,-0.036224,-0.959946,0.018112
0.244923,-0.036224,-0.978058,0.054337
0.265921,-0.018112,-0.996170,0.054337
0.287038,-0.018112,-1.014282,0.036224
0.307387,0.000000,-1.014282,-0.054337
0.328420,-0.018112,-0.996170,-0.054337
0.348724,0.036224,-1.014282,-0.054337
0.369859,0.018112,-1.014282,-0.018112
0.390950,0.018112,-0.996170,0.000000
0.411575,-0.018112,-0.978058,0.036224
0.432325,-0.036224,-0.996170,0.036224
0.453383,-0.036224,-1.032394,0.000000
0.474077,-0.036224,-0.996170,0.054337
0.495618,-0.054337,-0.996170,0.072449
0.516683,-0.036224,-1.014282,-0.018112
0.536947,-0.054337,-1.068619,-0.018112
0.558219,-0.018112,-1.086731,0.018112
0.579120,-0.018112,-1.141068,-0.054337
0.600155,-0.036224,-1.122955,-0.072449
0.621212,-0.036224,-1.014282,-0.054337
0.642281,0.000000,-0.978058,-0.090561
0.662535,0.018112,-1.050507,-0.108673
0.683606,0.000000,-1.050507,-0.108673
0.704637,0.000000,-1.032394,-0.090561
0.725845,0.036224,-1.050507,-0.181122
0.746888,0.036224,-1.050507,-0.235458
0.767143,0.018112,-1.032394,-0.217346
0.788336,-0.018112,-0.959946,-0.217346
0.809260,0.018112,-0.923721,-0.163010
0.830304,0.036224,-0.887497,-0.126785
0.851316,0.036224,-0.869385,-0.108673
0.871651,0.000000,-0.887497,-0.126785
0.891229,0.000000,-0.905609,-0.126785
0.912784,-0.018112,-0.923721,-0.126785
0.933835,0.018112,-0.923721,-0.108673
0.954980,-0.018112,-0.887497,-0.090561
0.975374,-0.036224,-0.869385,-0.090561
0.996437,-0.036224,-0.833160,-0.072449
1.016213,0.000000,-0.833160,-0.090561
1.037978,-0.018112,-0.851273,-0.072449
1.058940,-0.018112,-0.851273,-0.036224
1.079306,-0.018112,-0.869385,-0.036224
1.100355,0.018112,-0.887497,-0.054337
1.121396,0.054337,-0.978058,-0.036224
1.142499,0.090561,-1.068619,-0.054337
1.163571,0.054337,-1.086731,-0.108673
1.184305,0.054337,-1.050507,-0.054337
1.205393,0.090561,-1.068619,0.018112
1.226583,0.054337,-1.122955,-0.072449
1.247534,0.108673,-1.213516,-0.126785
1.268599,0.054337,-1.122955,-0.090561
1.289663,-0.018112,-1.068619,-0.036224
1.310720,-0.054337,-1.122955,-0.090561
1.331080,-0.054337,-1.213516,-0.217346
1.351728,0.000000,-1.267853,-0.307907
1.372809,-0.054337,-1.177292,-0.307907
1.393884,-0.108673,-1.050507,-0.217346
1.414950,-0.108673,-0.996170,-0.199234
1.435155,-0.072449,-0.959946,-0.181122
1.456261,-0.072449,-0.905609,-0.126785
1.476447,-0.072449,-0.833160,-0.090561
1.497665,-0.054337,-0.778824,-0.054337
1.518837,-0.036224,-0.796936,-0.090561
1.539110,-0.036224,-0.778824,-0.090561
1.559501,-0.018112,-0.778824,-0.090561
1.579604,0.000000,-0.778824,-0.108673
1.599763,0.000000,-0.760712,-0.108673
1.620783,-0.018112,-0.760712,-0.072449
1.641636,0.018112,-0.796936,-0.054337
1.662537,0.018112,-0.833160,-0.036224
